template,query_index,oracle_results,custom_results,correct,complete,status
Q_2_subscribes_likes,80,0,0,true,true,CORRECT
Q_1_likes,62,0,0,true,true,CORRECT
Q_2_subscribes_likes,89,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,39,0,0,true,true,CORRECT
Q_2_tag_homepage,23,0,0,true,true,CORRECT
Q_2_tag_homepage,25,0,0,true,true,CORRECT
Q_1_includes,61,0,0,true,true,CORRECT
Q_2_likes_nationality,52,1,1,true,true,CORRECT
Q_3_location_gender_type,11,0,0,true,true,CORRECT
Q_2_tag_homepage,41,0,0,true,true,CORRECT
Q_3_location_nationality_gender,6,0,0,true,true,CORRECT
Q_2_likes_nationality,27,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,45,0,0,true,true,CORRECT
Q_1_includes,25,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,19,0,0,true,true,CORRECT
Q_1_likes,49,0,0,true,true,CORRECT
Q_2_subscribes_likes,8,0,0,true,true,CORRECT
Q_2_likes_nationality,37,0,0,true,true,CORRECT
Q_4_location_nationality_gender_type,12,0,0,true,true,CORRECT
Q_1_eligibleregion,27,16,16,true,true,CORRECT
Q_1_subscribes,29,0,0,true,true,CORRECT
Q_2_includes_eligibleRegion,93,0,0,true,true,CORRECT
Q_2_likes_nationality,18,8,8,true,true,CORRECT
Q_2_subscribes_likes,3,0,0,true,true,CORRECT
